Mmwrweek_end,Level,State,Tests,Detections,Percent_pos,Subtype,Pathogen,Posted,Tests_3wma,Detections_5wma,Percent_Pos_3wma
,,,.,.,.,,,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6094,250,4.10,Combined Type,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.16,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,4895,32,0.65,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.25,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.08,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.16,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6281,131,2.09,Combined Type,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6275,285,4.54,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.83,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.10,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,3.52,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.10,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,7227,97,1.34,Combined Type,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6188,1085,17.53,Combined Type,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,246,5,2.03,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,28,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,*,*,1.28,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,234,6,2.56,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.43,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,2.14,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,*,*,1.33,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,233,33,14.16,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,293,13,4.44,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,224,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,293,8,2.73,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,289,22,7.61,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,7.61,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,430,10,2.33,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,289,56,19.38,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,29,3.22,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.22,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,6,0.67,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.22,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,19,2.11,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,60,6.65,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,2.22,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,3.99,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.33,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,1023,5,0.49,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,143,15.85,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,425,20,4.71,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.26,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,*,*,0.51,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.26,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,424,9,2.12,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,425,23,5.41,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.47,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,4.94,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,440,7,1.59,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,427,84,19.67,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,972,35,3.60,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
