reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2024-11-23,01,1,ensemble,2024-11-30,65.0,59.0,6.557391304347827,6.0,21.0
2024-11-23,01,1,baseline,2024-11-30,65.0,44.0,12.197826086956523,21.0,21.0
2024-11-23,01,2,ensemble,2024-12-07,102.0,70.0,15.564347826086957,32.0,58.0
2024-11-23,01,2,baseline,2024-12-07,102.0,44.0,32.237826086956524,58.0,58.0
2024-11-23,01,3,ensemble,2024-12-14,193.0,88.0,63.22956521739129,105.0,149.0
2024-11-23,01,3,baseline,2024-12-14,193.0,44.0,93.86173913043478,149.0,149.0
2024-11-23,02,1,ensemble,2024-11-30,9.0,9.0,1.2852173913043479,0.0,0.0
2024-11-23,02,1,baseline,2024-11-30,9.0,7.0,1.5621739130434782,2.0,0.0
2024-11-23,02,2,ensemble,2024-12-07,17.0,9.0,4.072173913043478,8.0,8.0
2024-11-23,02,2,baseline,2024-12-07,17.0,7.0,5.361304347826087,10.0,8.0
2024-11-23,02,3,ensemble,2024-12-14,25.0,10.0,8.624347826086957,15.0,16.0
2024-11-23,02,3,baseline,2024-12-14,25.0,7.0,10.20608695652174,18.0,16.0
2024-11-23,04,1,ensemble,2024-11-30,541.0,430.0,56.51652173913043,111.0,212.0
2024-11-23,04,1,baseline,2024-11-30,541.0,357.0,117.55695652173912,184.0,212.0
2024-11-23,04,2,ensemble,2024-12-07,829.0,451.0,204.68652173913043,378.0,500.0
2024-11-23,04,2,baseline,2024-12-07,829.0,357.0,359.03826086956525,472.0,500.0
2024-11-23,04,3,ensemble,2024-12-14,960.0,479.0,283.52260869565214,481.0,631.0
2024-11-23,04,3,baseline,2024-12-14,960.0,357.0,471.4730434782608,603.0,631.0
2024-11-23,05,1,ensemble,2024-11-30,11.0,20.0,5.564782608695652,9.0,2.0
2024-11-23,05,1,baseline,2024-11-30,11.0,13.0,5.315217391304349,2.0,2.0
2024-11-23,05,2,ensemble,2024-12-07,32.0,22.0,6.427826086956521,10.0,19.0
2024-11-23,05,2,baseline,2024-12-07,32.0,13.0,10.34608695652174,19.0,19.0
2024-11-23,05,3,ensemble,2024-12-14,42.0,25.0,9.037826086956521,17.0,29.0
2024-11-23,05,3,baseline,2024-12-14,42.0,13.0,13.857826086956523,29.0,29.0
2024-11-23,06,1,ensemble,2024-11-30,684.0,475.0,102.79695652173913,209.0,373.0
2024-11-23,06,1,baseline,2024-11-30,684.0,303.0,238.10739130434783,381.0,373.0
2024-11-23,06,2,ensemble,2024-12-07,1059.0,582.0,273.1626086956522,477.0,748.0
2024-11-23,06,2,baseline,2024-12-07,1059.0,303.0,493.7630434782609,756.0,748.0
2024-11-23,06,3,ensemble,2024-12-14,1395.0,660.0,440.5017391304347,735.0,1084.0
2024-11-23,06,3,baseline,2024-12-14,1395.0,303.0,756.3239130434783,1092.0,1084.0
2024-11-23,08,1,ensemble,2024-11-30,67.0,42.0,12.999565217391307,25.0,38.0
2024-11-23,08,1,baseline,2024-11-30,67.0,29.0,21.246521739130436,38.0,38.0
2024-11-23,08,2,ensemble,2024-12-07,90.0,49.0,20.603478260869565,41.0,61.0
