model,reference_date,location,horizon,wis,point,spread,under,over,cover50,width50,cover80,width80,cover95,width95,pit,mae,phase
ensemble,2025-11-22,01,1,6.51217391304348,0.5217391304347826,4.164347826086957,0.0,1.826086956521739,1.0,25.0,1.0,49.0,1.0,80.0,0.7166666666666667,12.0,declining
ensemble,2025-11-22,01,2,12.493913043478262,1.0434782608695652,6.319999999999999,0.0,5.130434782608695,0.0,39.0,1.0,68.0,1.0,112.0,0.78,24.0,declining
ensemble,2025-11-22,01,3,28.831304347826087,2.347826086956522,8.396521739130433,0.0,18.08695652173913,0.0,51.0,1.0,96.0,1.0,146.0,0.871875,54.0,declining
ensemble,2025-11-22,04,1,9.32,0.8695652173913043,4.972173913043478,0.0,3.4782608695652173,1.0,33.0,1.0,56.0,1.0,100.0,0.7333333333333333,20.0,declining
ensemble,2025-11-22,04,2,7.741304347826087,0.21739130434782608,7.263043478260869,0.0,0.2608695652173913,1.0,52.0,1.0,89.0,1.0,159.0,0.6,5.0,declining
ensemble,2025-11-22,04,3,17.56434782608696,1.4782608695652173,10.086086956521738,0.0,6.0,1.0,66.0,1.0,134.0,1.0,250.0,0.7,34.0,declining
ensemble,2025-11-22,05,1,50.29391304347826,2.6956521739130435,2.554782608695652,0.0,45.04347826086956,0.0,15.0,0.0,26.0,0.0,42.0,0.9920766834138172,62.0,declining
ensemble,2025-11-22,05,2,21.732608695652175,1.608695652173913,3.428260869565217,0.0,16.695652173913043,0.0,20.0,0.0,39.0,1.0,69.0,0.9384615384615385,37.0,declining
ensemble,2025-11-22,05,3,39.65565217391304,2.739130434782609,4.742608695652173,0.0,32.17391304347826,0.0,30.0,0.0,56.0,1.0,92.0,0.96,63.0,declining
ensemble,2025-11-22,06,1,22.48391304347826,0.5217391304347826,21.96217391304348,0.0,0.0,1.0,140.0,1.0,262.0,1.0,427.0,0.55,12.0,declining
ensemble,2025-11-22,06,2,37.04826086956522,0.2608695652173913,36.78739130434783,0.0,0.0,1.0,231.0,1.0,400.0,1.0,663.0,0.48928571428571427,6.0,declining
ensemble,2025-11-22,06,3,64.80999999999999,4.173913043478261,50.72304347826086,0.0,9.91304347826087,1.0,321.0,1.0,587.0,1.0,1015.0,0.6642857142857143,96.0,declining
ensemble,2025-11-22,08,1,59.45913043478261,3.9130434782608696,6.676521739130436,0.0,48.869565217391305,0.0,42.0,0.0,80.0,0.0,120.0,0.986,90.0,rising
ensemble,2025-11-22,08,2,104.7313043478261,6.391304347826087,9.992173913043478,0.0,88.34782608695652,0.0,64.0,0.0,112.0,0.0,170.0,0.9945920754920328,147.0,rising
ensemble,2025-11-22,08,3,130.92217391304348,8.478260869565217,12.704782608695652,0.0,109.73913043478261,0.0,80.0,0.0,152.0,0.0,241.0,0.9813829787234042,195.0,rising
ensemble,2025-11-22,09,1,41.07260869565218,2.5217391304347827,2.9856521739130444,0.0,35.56521739130435,0.0,19.0,0.0,36.0,0.0,59.0,0.9864705882352941,58.0,rising
ensemble,2025-11-22,09,2,78.96565217391304,4.521739130434782,4.18304347826087,0.0,70.26086956521739,0.0,27.0,0.0,49.0,0.0,89.0,0.997626522153151,104.0,rising
ensemble,2025-11-22,09,3,143.47695652173914,7.739130434782608,6.259565217391304,0.0,129.47826086956522,0.0,35.0,0.0,71.0,0.0,117.0,0.9992070986693224,178.0,rising
ensemble,2025-11-22,12,1,154.95695652173913,11.608695652173912,31.609130434782607,0.0,111.73913043478261,0.0,197.0,0.0,418.0,1.0,583.0,0.9229508196721311,267.0,declining
ensemble,2025-11-22,12,2,211.60086956521738,16.52173913043478,43.426956521739136,0.0,151.65217391304347,0.0,299.0,0.0,605.0,1.0,830.0,0.9065573770491804,380.0,declining
ensemble,2025-11-22,12,3,180.72521739130437,14.826086956521738,56.681739130434785,0.0,109.21739130434783,0.0,364.0,1.0,784.0,1.0,1020.0,0.8242268041237113,341.0,declining
ensemble,2025-11-22,13,1,51.525217391304345,3.739130434782609,8.829565217391306,0.0,38.95652173913044,0.0,54.0,0.0,114.0,1.0,166.0,0.9369565217391304,86.0,rising
ensemble,2025-11-22,13,2,46.66478260869565,3.6956521739130435,12.621304347826088,0.0,30.347826086956523,0.0,76.0,1.0,147.0,1.0,227.0,0.8891304347826087,85.0,rising
ensemble,2025-11-22,13,3,140.73434782608695,9.130434782608695,15.951739130434783,0.0,115.65217391304348,0.0,97.0,0.0,193.0,0.0,301.0,0.9757142857142856,210.0,rising
ensemble,2025-11-22,15,1,6.579130434782608,0.5217391304347826,1.9704347826086959,0.0,4.086956521739131,0.0,12.0,1.0,22.0,1.0,38.0,0.8833333333333333,12.0,declining
ensemble,2025-11-22,15,2,12.753478260869565,0.8695652173913043,2.4056521739130434,0.0,9.478260869565217,0.0,15.0,0.0,25.0,1.0,47.0,0.9388888888888889,20.0,declining
ensemble,2025-11-22,15,3,34.832173913043476,2.1739130434782608,3.006086956521739,0.0,29.652173913043477,0.0,19.0,0.0,32.0,0.0,66.0,0.9771428571428571,50.0,declining
ensemble,2025-11-22,16,1,7.278260869565218,0.6086956521739131,2.3217391304347825,0.0,4.3478260869565215,0.0,15.0,1.0,27.0,1.0,46.0,0.85,14.0,declining
ensemble,2025-11-22,16,2,15.48695652173913,1.173913043478261,3.356521739130435,0.0,10.956521739130435,0.0,21.0,0.0,36.0,1.0,64.0,0.9107142857142857,27.0,declining
ensemble,2025-11-22,16,3,6.683913043478261,0.4782608695652174,4.2926086956521745,0.0,1.9130434782608696,1.0,27.0,1.0,49.0,1.0,85.0,0.7,11.0,declining
ensemble,2025-11-22,17,1,39.16608695652174,3.0,7.122608695652173,0.0,29.043478260869566,0.0,43.0,0.0,91.0,1.0,158.0,0.9214285714285714,69.0,declining
ensemble,2025-11-22,17,2,73.08434782608695,5.217391304347826,11.171304347826087,0.0,56.69565217391305,0.0,62.0,0.0,134.0,1.0,224.0,0.9460526315789474,120.0,declining
ensemble,2025-11-22,17,3,94.23695652173912,6.956521739130435,17.193478260869565,0.0,70.08695652173913,0.0,106.0,0.0,182.0,1.0,325.0,0.9370967741935483,160.0,declining
ensemble,2025-11-22,18,1,18.36086956521739,1.434782608695652,6.5782608695652165,0.0,10.347826086956522,0.0,40.0,1.0,75.0,1.0,140.0,0.8545454545454545,33.0,declining
ensemble,2025-11-22,18,2,28.818695652173915,2.4347826086956523,9.253478260869565,0.0,17.130434782608695,0.0,62.0,1.0,106.0,1.0,213.0,0.865625,56.0,declining
ensemble,2025-11-22,18,3,44.41434782608695,3.869565217391304,13.327391304347827,0.0,27.217391304347824,0.0,85.0,1.0,154.0,1.0,289.0,0.8604166666666666,89.0,declining
ensemble,2025-11-22,19,1,4.276086956521739,0.34782608695652173,1.9282608695652177,0.0,2.0,0.0,12.0,1.0,24.0,1.0,43.0,0.7666666666666667,8.0,declining
ensemble,2025-11-22,19,2,4.420869565217392,0.34782608695652173,2.7686956521739137,0.0,1.3043478260869565,1.0,17.0,1.0,32.0,1.0,60.0,0.7124999999999999,8.0,declining
ensemble,2025-11-22,19,3,6.514347826086956,0.5217391304347826,3.6447826086956523,0.0,2.347826086956522,1.0,22.0,1.0,45.0,1.0,85.0,0.75,12.0,declining
ensemble,2025-11-22,20,1,2.045217391304348,0.043478260869565216,2.0017391304347827,0.0,0.0,1.0,12.0,1.0,22.0,1.0,36.0,0.55,1.0,declining
ensemble,2025-11-22,20,2,4.279565217391305,0.30434782608695654,2.5839130434782613,0.0,1.391304347826087,1.0,16.0,1.0,31.0,1.0,53.0,0.725,7.0,declining
ensemble,2025-11-22,20,3,6.644347826086956,0.4782608695652174,3.209565217391304,0.0,2.9565217391304346,0.0,19.0,1.0,38.0,1.0,74.0,0.8,11.0,declining
ensemble,2025-11-22,21,1,11.327391304347826,0.9565217391304348,3.501304347826087,0.0,6.869565217391305,0.0,23.0,1.0,43.0,1.0,73.0,0.85,22.0,declining
ensemble,2025-11-22,21,2,18.178260869565218,1.391304347826087,5.047826086956522,0.0,11.73913043478261,0.0,30.0,1.0,61.0,1.0,110.0,0.8722222222222222,32.0,declining
ensemble,2025-11-22,21,3,36.84478260869565,2.8260869565217392,7.149130434782609,0.0,26.869565217391305,0.0,44.0,0.0,87.0,1.0,155.0,0.9073529411764706,65.0,declining
ensemble,2025-11-22,22,1,10.344347826086958,0.2608695652173913,10.083478260869565,0.0,0.0,1.0,67.0,1.0,126.0,1.0,190.0,0.45,6.0,declining
ensemble,2025-11-22,22,2,23.022173913043478,1.6956521739130435,14.10913043478261,0.0,7.217391304347826,1.0,91.0,1.0,169.0,1.0,255.0,0.7333333333333333,39.0,declining
ensemble,2025-11-22,22,3,46.50869565217391,3.739130434782609,19.291304347826088,0.0,23.47826086956522,0.0,125.0,1.0,232.0,1.0,352.0,0.80625,86.0,declining
ensemble,2025-11-22,23,1,3.7782608695652176,0.30434782608695654,1.2130434782608697,0.0,2.260869565217391,0.0,7.0,1.0,14.0,1.0,24.0,0.8333333333333334,7.0,declining
ensemble,2025-11-22,23,2,7.032608695652174,0.5652173913043478,1.684782608695652,0.0,4.782608695652174,0.0,10.0,1.0,20.0,1.0,35.0,0.8875,13.0,declining
ensemble,2025-11-22,23,3,12.62,1.0,2.3156521739130436,0.0,9.304347826086957,0.0,14.0,0.0,25.0,1.0,50.0,0.9181818181818182,23.0,declining
ensemble,2025-11-22,24,1,32.313478260869566,2.347826086956522,5.704782608695653,0.0,24.26086956521739,0.0,35.0,0.0,72.0,1.0,103.0,0.9428571428571428,54.0,declining
ensemble,2025-11-22,24,2,49.08434782608696,3.4782608695652173,8.736521739130435,0.0,36.869565217391305,0.0,55.0,0.0,100.0,1.0,150.0,0.9513888888888888,80.0,declining
ensemble,2025-11-22,24,3,114.39217391304348,7.173913043478261,12.000869565217393,0.0,95.21739130434783,0.0,69.0,0.0,142.0,0.0,214.0,0.9811538461538462,165.0,declining
ensemble,2025-11-22,25,1,14.444782608695652,1.2173913043478262,6.531739130434784,0.0,6.695652173913044,0.0,38.0,1.0,73.0,1.0,123.0,0.7875000000000001,28.0,declining
ensemble,2025-11-22,25,2,47.12478260869565,3.4347826086956523,8.559565217391304,0.0,35.130434782608695,0.0,53.0,0.0,96.0,1.0,183.0,0.9351851851851851,79.0,declining
ensemble,2025-11-22,25,3,102.35782608695652,6.956521739130435,12.792608695652175,0.0,82.6086956521739,0.0,81.0,0.0,136.0,1.0,255.0,0.9614406779661017,160.0,declining
ensemble,2025-11-22,26,1,10.993478260869566,0.8695652173913043,7.0804347826086955,0.0,3.0434782608695654,1.0,48.0,1.0,74.0,1.0,125.0,0.7142857142857143,20.0,declining
ensemble,2025-11-22,26,2,13.86217391304348,0.9130434782608695,8.86217391304348,0.0,4.086956521739131,1.0,55.0,1.0,109.0,1.0,183.0,0.7333333333333333,21.0,declining
ensemble,2025-11-22,26,3,73.26782608695653,5.130434782608695,12.65913043478261,0.0,55.47826086956522,0.0,76.0,0.0,146.0,1.0,238.0,0.944047619047619,118.0,declining
ensemble,2025-11-22,27,1,35.17826086956522,2.347826086956522,3.3521739130434782,0.0,29.47826086956522,0.0,20.0,0.0,41.0,0.0,70.0,0.9760714285714286,54.0,rising
ensemble,2025-11-22,27,2,51.29130434782609,3.3043478260869565,4.682608695652174,0.0,43.30434782608695,0.0,29.0,0.0,62.0,1.0,102.0,0.9736111111111111,76.0,rising
ensemble,2025-11-22,27,3,179.87043478260873,9.521739130434783,6.696521739130434,0.0,163.65217391304347,0.0,41.0,0.0,80.0,0.0,152.0,0.9963436113328392,219.0,rising
