model,reference_date,location,horizon,target_end_date,truth,point,wis,mae,persistence_mae
ensemble,2023-10-14,01,1,2023-10-21,30.0,27.0,4.623785644234678,3.0,10.0
ensemble,2023-10-14,01,2,2023-10-28,32.0,28.87,6.264811294373078,3.129999999999999,12.0
ensemble,2023-10-14,01,3,2023-11-04,37.0,27.0,6.6983180691336806,10.0,17.0
ensemble,2023-10-14,02,1,2023-10-21,21.0,6.29,8.758104320841133,14.71,11.0
ensemble,2023-10-14,02,2,2023-10-28,30.0,7.0,15.210107879309726,23.0,20.0
ensemble,2023-10-14,02,3,2023-11-04,33.0,7.0,16.293125397617672,26.0,23.0
ensemble,2023-10-14,04,1,2023-10-21,52.0,21.5,14.827438054005869,30.5,36.0
ensemble,2023-10-14,04,2,2023-10-28,49.0,22.0,12.14676805585459,27.0,33.0
ensemble,2023-10-14,04,3,2023-11-04,51.0,24.0,12.599547969655879,27.0,35.0
ensemble,2023-10-14,05,1,2023-10-21,18.0,11.77,3.37139054086446,6.23,1.0
ensemble,2023-10-14,05,2,2023-10-28,13.0,14.0,2.576486014563675,1.0,4.0
ensemble,2023-10-14,05,3,2023-11-04,18.0,13.974525828361518,3.1325200473936863,4.025474171638482,1.0
ensemble,2023-10-14,06,1,2023-10-21,51.0,54.613863970398405,8.699383562623717,3.6138639703984055,6.0
ensemble,2023-10-14,06,2,2023-10-28,76.0,61.0,12.567101667368886,15.0,31.0
ensemble,2023-10-14,06,3,2023-11-04,97.0,66.0,18.55936268890504,31.0,52.0
ensemble,2023-10-14,08,1,2023-10-21,16.0,14.915831686854364,2.8553687174206286,1.0841683131456357,6.0
ensemble,2023-10-14,08,2,2023-10-28,19.0,14.856723991993242,4.559994547149501,4.143276008006758,9.0
ensemble,2023-10-14,08,3,2023-11-04,31.0,16.280928800940515,7.268296714923302,14.719071199059485,21.0
ensemble,2023-10-14,09,1,2023-10-21,1.0,12.25,7.006025079338195,11.25,3.0
ensemble,2023-10-14,09,2,2023-10-28,7.0,11.92,4.106459477830287,4.92,3.0
ensemble,2023-10-14,09,3,2023-11-04,12.0,12.03,5.122176170882035,0.02999999999999936,8.0
ensemble,2023-10-14,10,1,2023-10-21,1.0,1.0,0.692163982138348,0.0,1.0
ensemble,2023-10-14,10,2,2023-10-28,1.0,1.0,0.5674307486263338,0.0,1.0
ensemble,2023-10-14,10,3,2023-11-04,1.0,1.0,0.5153488243093725,0.0,1.0
ensemble,2023-10-14,11,1,2023-10-21,4.0,1.74705557703972,1.1189765516011936,2.25294442296028,2.0
ensemble,2023-10-14,11,2,2023-10-28,1.0,2.760674427747728,0.7764147798321679,1.7606744277477282,1.0
ensemble,2023-10-14,11,3,2023-11-04,0.0,1.305,0.8932706474754176,1.305,2.0
ensemble,2023-10-14,12,1,2023-10-21,292.0,190.5,55.145882188273056,101.5,62.0
ensemble,2023-10-14,12,2,2023-10-28,313.0,191.5,65.01609689152114,121.5,83.0
ensemble,2023-10-14,12,3,2023-11-04,444.0,192.5,152.66049505394437,251.5,214.0
ensemble,2023-10-14,13,1,2023-10-21,31.0,37.74237106897106,5.217959234143181,6.74237106897106,4.0
ensemble,2023-10-14,13,2,2023-10-28,40.0,38.0,4.843795648642894,2.0,5.0
ensemble,2023-10-14,13,3,2023-11-04,60.0,36.18285019060315,10.622626564341003,23.817149809396852,25.0
ensemble,2023-10-14,15,1,2023-10-21,13.0,8.912934719819873,2.036279510957652,4.087065280180127,3.0
ensemble,2023-10-14,15,2,2023-10-28,13.0,9.999999999999998,1.9510198020457097,3.0000000000000018,3.0
ensemble,2023-10-14,15,3,2023-11-04,14.0,10.2,2.3467730067068318,3.8000000000000007,4.0
ensemble,2023-10-14,16,1,2023-10-21,2.0,3.26,1.363429732020417,1.2599999999999998,2.0
ensemble,2023-10-14,16,2,2023-10-28,4.0,3.5,1.2073930318116408,0.5,0.0
ensemble,2023-10-14,16,3,2023-11-04,5.0,3.6,1.5889989041342714,1.4,1.0
ensemble,2023-10-14,17,1,2023-10-21,27.0,24.0,4.403820912803047,3.0,6.0
ensemble,2023-10-14,17,2,2023-10-28,21.0,26.96,5.868796077691652,5.960000000000001,0.0
ensemble,2023-10-14,17,3,2023-11-04,34.0,30.1,6.747082986884693,3.8999999999999986,13.0
ensemble,2023-10-14,18,1,2023-10-21,25.0,17.0,4.905622448249571,8.0,17.0
ensemble,2023-10-14,18,2,2023-10-28,33.0,19.58673633098604,7.597303032596989,13.413263669013961,25.0
ensemble,2023-10-14,18,3,2023-11-04,39.0,24.0,9.080082112637085,15.0,31.0
ensemble,2023-10-14,19,1,2023-10-21,4.0,4.39,1.2462741521214276,0.3899999999999997,1.0
ensemble,2023-10-14,19,2,2023-10-28,4.0,6.999999999999999,1.864662734548882,2.999999999999999,1.0
ensemble,2023-10-14,19,3,2023-11-04,10.0,7.496832337915634,2.6412952711128983,2.5031676620843664,7.0
ensemble,2023-10-14,20,1,2023-10-21,7.0,7.782,1.423005462650541,0.782,8.0
ensemble,2023-10-14,20,2,2023-10-28,5.0,8.84046,2.059386209845598,3.84046,10.0
ensemble,2023-10-14,20,3,2023-11-04,6.0,9.393264932334422,2.2075619040827634,3.3932649323344215,9.0
ensemble,2023-10-14,21,1,2023-10-21,20.0,17.4,3.697613676052572,2.6000000000000014,8.0
ensemble,2023-10-14,21,2,2023-10-28,23.0,16.0,4.667474770552911,7.0,11.0
ensemble,2023-10-14,21,3,2023-11-04,21.0,17.0,5.717670897281527,4.0,9.0
ensemble,2023-10-14,22,1,2023-10-21,31.0,19.623122639656067,6.844467371460405,11.376877360343933,12.0
ensemble,2023-10-14,22,2,2023-10-28,46.0,19.0,17.092628618240852,27.0,27.0
ensemble,2023-10-14,22,3,2023-11-04,40.0,19.7,10.509981983846586,20.3,21.0
ensemble,2023-10-14,23,1,2023-10-21,2.0,1.9999999999999991,0.7091795759588969,8.881784197001252e-16,3.0
ensemble,2023-10-14,23,2,2023-10-28,4.0,2.0562141346931453,1.037163560502373,1.9437858653068547,1.0
ensemble,2023-10-14,23,3,2023-11-04,1.0,1.958747864065608,1.0633156099349355,0.958747864065608,4.0
ensemble,2023-10-14,24,1,2023-10-21,9.0,4.993874127599956,2.1135414034556192,4.006125872400044,6.0
ensemble,2023-10-14,24,2,2023-10-28,10.0,5.668641758630044,2.473289138431467,4.331358241369956,7.0
ensemble,2023-10-14,24,3,2023-11-04,15.0,5.545,4.5273291703243,9.455,12.0
ensemble,2023-10-14,25,1,2023-10-21,14.0,20.082862756176063,4.281499204087437,6.082862756176063,0.0
ensemble,2023-10-14,25,2,2023-10-28,28.0,22.92544233789864,5.588713807575097,5.074557662101359,14.0
ensemble,2023-10-14,25,3,2023-11-04,30.0,26.3681508410682,7.446076838439577,3.6318491589318,16.0
ensemble,2023-10-14,26,1,2023-10-21,21.0,15.75,4.149054970423217,5.25,4.0
ensemble,2023-10-14,26,2,2023-10-28,12.0,18.75,6.049694141518245,6.75,5.0
ensemble,2023-10-14,26,3,2023-11-04,34.0,18.45,8.828595969719103,15.55,17.0
ensemble,2023-10-14,27,1,2023-10-21,4.0,3.944894933037213,1.117527642064462,0.05510506696278705,1.0
ensemble,2023-10-14,27,2,2023-10-28,4.0,4.264520804901699,1.432958068933809,0.26452080490169916,1.0
ensemble,2023-10-14,27,3,2023-11-04,9.0,4.41853315222093,2.6122242865194223,4.58146684777907,6.0
ensemble,2023-10-14,28,1,2023-10-21,20.0,22.0,4.939804881053743,2.0,9.0
ensemble,2023-10-14,28,2,2023-10-28,18.0,24.0,5.7004544989837855,6.0,11.0
ensemble,2023-10-14,28,3,2023-11-04,30.0,25.0,7.176152757037626,5.0,1.0
ensemble,2023-10-14,29,1,2023-10-21,17.0,16.41857846804197,3.0639773861157202,0.5814215319580285,7.0
ensemble,2023-10-14,29,2,2023-10-28,17.0,18.0,3.9225560354768776,1.0,7.0
ensemble,2023-10-14,29,3,2023-11-04,24.0,19.0,4.977838870131423,5.0,0.0
ensemble,2023-10-14,30,1,2023-10-21,1.0,4.427165,1.8189388370595367,3.4271649999999996,1.0
ensemble,2023-10-14,30,2,2023-10-28,0.0,5.0,2.981965776576963,5.0,0.0
ensemble,2023-10-14,30,3,2023-11-04,1.0,4.9,2.591293454737802,3.9000000000000004,1.0
ensemble,2023-10-14,31,1,2023-10-21,8.0,4.0,2.0811056989316628,4.0,3.0
ensemble,2023-10-14,31,2,2023-10-28,7.0,3.898334886772269,2.279772358333478,3.101665113227731,2.0
ensemble,2023-10-14,31,3,2023-11-04,5.0,5.0038354269823895,1.993289336886878,0.003835426982389478,0.0
